name,id
Randal Kleiser,12227
Ken Olin,43643
George Lucas,1894
James Fargo,15417
Phil Alden Robinson,4614
Doug Liman,2501
Raja Gosnell,9637
Tommy Chong,14774
Dean DeBlois,11544
Chris Sanders,11544
Tom Ropelewski,11982
John Schultz,21972
Barry Sonnenfeld,608
Rick Rosenthal,11442
Rob Minkoff,10996
Jay Roach,818
Gordon Douglas,24130
Joseph Losey,36645
Daniel Mann,23728
Robert Rodriguez,9488
Rob Cohen,7451
John Stockwell,9266
Walter Hill,15070
Arna Selznick,11243
Jim Abrahams,9595
Robert Englund,24038
Terence Fisher,3127
John Badham,10859
Tim Story,10611
Louis Leterrier,4108
Corey Yuen Kwai,4108
John R. Cherry III,18943
Wes Craven,18477
Wes Craven,12262
Brett Ratner,9533
Tom Tykwer,10575
Ishirô Honda,1682
Ishirô Honda,18983
Terry O. Morse,18983
Peter Bogdanovich,82545
Terence Fisher,11868
Sergio Corbucci,10772
Nello Rossati,77079
Gore Verbinski,565
Godfrey Reggio,21925
Adam Marcus,10285
John Badham,11009
Sylvester Stallone,10805
Menahem Golan,17205
John Alan Schwartz,15900
John Alan Schwartz,12237
George Mihalka,39874
James Cameron,31646
Jeff Tremaine,9012
John Huston,12208
Robert Parrish,12208
Val Guest,12208
Joseph McGrath,12208
Ken Hughes,12208
Michael Lembeck,9021
Chris Columbus,672
Bill Corcoran,29229
William A. Graham,13888
David Cronenberg,9538
Jim Sharman,27997
Lee Tamahori,36669
Marcus Raboy,10426
Meir Zarchi,25239
Cy Endfield,14433
Harold Ramis,9932
Mark L. Lester,11564
Stuart Baird,201
Peter Jackson,121
Howard Zieff,11317
Howard Zieff,4032
Michael Coldewey,16225
Michel Lemire,16225
David R. Ellis,9358
Ryû Murakami,15802
Elliott Hong,24830
Blake Edwards,9699
Robert J. Rosenthal,23943
David Dobkin,6038
Steve Trenbirth,14873
Nick Castle,12139
Carroll Ballard,17264
Glen Morgan,10929
James Hill,15347
Hideo Nakata,2671
Harold D. Schuster,18992
Henry Koster,29912
Rob Zombie,2662
Bryan Singer,36658
Steve Carr,10708
Sam Firstenberg,17464
Joel Silberg,15259
Lilly Wachowski,604
Lana Wachowski,604
Cédric Klapisch,1555
Tom Shadyac,310
Andrew Stanton,12
Rob Schmidt,9902
John Singleton,584
Henry Hathaway,5921
Elliot Silverstein,14676
Troy Miller,10152
Norton Virgien,20694
John Eng,20694
Alan Gibson,35669
Danny Boyle,170
McG,9471
Charles Herman-Wurmfeld,10327
Jonathan Mostow,296
Gore Verbinski,22
Michael Bay,8961
Peter Howitt,9486
Jan de Bont,1996
Robert Rodriguez,12279
Burt Reynolds,21882
Joseph Sargent,4984
Jesse Dylan,8273
Clark Johnson,9257
Pier Paolo Pasolini,33954
Ronny Yu,6466
Harald Zwart,10923
Ron Underwood,9362
Blake Edwards,936
Blake Edwards,12268
Victor Salva,11351
Emilio Martínez Lázaro,2722
Eli Roth,11547
Robert Rodriguez,1428
Tsui Hark,10617
George A. Romero,8408
Len Wiseman,277
Eytan Fox,17614
Brian Levant,11806
Rod Daniel,10438
John Fawcett,9871
Bill L. Norton,33258
Uwe Boll,11059
Quentin Tarantino,24
Marcus Nispel,9373
David Zucker,4256
Aaron Blaise,10009
Robert Walker,10009
Danny Pang,10389
Oxide Pang Chun,10389
Terence Fisher,3117
John Rawlins,27117
Roy William Neill,50553
Lilly Wachowski,605
Lana Wachowski,605
Charles Shyer,11846
Terry Zwigoff,10147
Sam Raimi,9556
Freddie Francis,38939
John Badham,860
Russell Mulcahy,8010
Ivan Reitman,951
Kinji Fukasaku,3176
Rod Daniel,11824
Blake Edwards,1594
Mark Jones,11811
François Truffaut,255
Bille Woodruff,10028
Peter Jackson,122
Shawn Levy,11007
Brian Yuzna,11429
Phil Karlson,21779
Eric Bress,1954
J. Mackye Gruber,1954
Chris Stokes,14114
Kevin Rodney Sullivan,21301
Larry Blamire,18841
William Crain,30566
Bob Kelljan,42466
J. Lee Thompson,9838
Guy Ferland,10677
Kevin Allen,17047
Raja Gosnell,11024
Lars von Trier,553
Guillermo del Toro,1487
Martha Coolidge,11137
Kevin Bray,11358
Howard Deutch,2122
George A. Romero,923
Hal Walker,34082
Quentin Tarantino,393
Mark Waters,10625
Stephen Sommers,7131
Michael Davis,10035
Lewis Gilbert,667
John Glen,700
Irvin Kershner,36670
Amy Heckerling,9356
Menahem Golan,16113
Jacques Tourneur,25508
Richard Lester,12310
Tanit Jitnukul,39907
Luis Llosa,9545
Jesús Salvador Treviño,10941
W.S. Van Dyke,14589
Richard Thorpe,14594
W.S. Van Dyke,14590
W.S. Van Dyke,14588
Edward Buzzell,14595
S. S. Wilson,11069
Brent Maddock,10829
Roy Ward Baker,31952
Paul Glickler,54396
Shigehiro Ozawa,40810
Shigehiro Ozawa,40812
Terence Fisher,3075
Paul Wendkos,43096
Ingmar Bergman,11506
Andrew Lau,10775
Alan Mak,10775
Stuart Gordon,15618
Paul Bartel,13282
Jack Smight,26268
Aaron Norris,19086
Michelangelo Antonioni,5165
Andrew Adamson,809
Kelly Asbury,809
Conrad Vernon,809
Alfonso Cuarón,673
David Twohy,2789
Peter Hewitt,8920
Alan Metter,11546
Alfred L. Werker,17481
Morgan Spurlock,9372
Tom Laughlin,44695
Masaki Kobayashi,31217
Jun Fukuda,38582
Robert Harmon,9542
Robert Butler,24236
Stewart Raffill,10606
Blake Edwards,6081
Gérard Krawczyk,2334
Fred M. Wilcox,2202
Sam Raimi,558
Richard Linklater,80
Adam McKay,8699
Mark Rosman,11247
Jerzy Hoffman,36627
Paul Greengrass,2502
George McCowan,43417
Roy William Neill,20408
Roy William Neill,34327
Roy William Neill,20417
David Lane,35780
Danny Leiner,11282
Garry Marshall,11130
Paul W.S. Anderson,395
Steven Brill,10762
Renny Harlin,11026
Jeremy Kagan,36912
Joe Camp,44415
Kevin Tenney,24924
Kevin Tenney,17994
Alexander Witt,1577
Frank Henenlotter,27816
Frank Henenlotter,27815
Larry Cohen,28153
Takashi Shimizu,1970
James Wan,176
Brad Bird,9806
Don Mancini,11249
Beeban Kidron,9801
Jon Turteltaub,2059
Stephen Hillenburg,11836
Steven Soderbergh,163
David S. Goyer,36648
Jack Haley Jr.,33740
Ernest B. Schoedsack,43149
Stuart Walker,27970
Norman Z. McLeod,23101
Frank Capra,23336
Anatole Litvak,23336
Robert Wise,28436
Gunther von Fritsch,28436
Andrew Marton,43388
Compton Bennett,43388
Masaki Kobayashi,34528
Masaki Kobayashi,34530
Terence Fisher,17102
Freddie Francis,29778
Peter Sasdy,29748
Enzo Barboni,9394
Jan Troell,40732
Robert Fuest,18250
Alan Gibson,33020
Tonino Valerii,9474
Phil Karlson,25473
Just Jaeckin,24402
H.B. Halicki,16246
Steve Peterson,16246
D'Urville Martin,19174
Francis Giacobetti,28209
Kazuhiko Yamaguchi,47313
Russ Meyer,5725
Richard T. Heffron,10640
Russ Meyer,5651
John Korty,1884
Charles E. Sellier Jr.,27414
Lamberto Bava,14029
Jim Wheat,10372
Ken Wheat,10372
Jackie Chan,9056
John Woo,11471
R.J. Kizer,22572
Donald G. Jackson,22572
Stewart Raffill,34376
Miguel Rey,47350
Bobby Gene Leonard,25684
Michael Schroeder,16437
Stuart Gordon,12088
Stephen Cornwell,35610
Stephen Frears,12664
Clarence Fok,26877
David S. Ward,11067
Jeff Burr,35977
Gisaburō Sugii,12613
Nicolas Winding Refn,2061
Ken Blakey,74097
Darrell Rooney,9732
Dave Payne,11508
Turi Meyer,12485
Toshihiko Masuda,17074
Hideaki Anno,18491
Kazuya Tsurumaki,18491
Matthew Bright,39927
Gérard Krawczyk,2332
Roger Kumble,5458
Adrian Edmondson,10482
Anne Heche,28031
Jane Anderson,28031
Martha Coolidge,28031
Wong Kar-wai,844
Curt Geda,16234
Jean de Segonzac,10706
Joe Berlinger,17208
Bruce Sinofsky,17208
Shusuke Kaneko,36243
Morgan J. Freeman,10726
Andrzej Sekula,437
Michael Dowse,13984
Park Chan-wook,4689
Michael Oblowitz,18248
Bradley Raymond,11430
S. S. Wilson,10891
Damon Santostefano,12540
Olivier Dahan,60672
Ching Siu-Tung,10855
Mamoru Oshii,12140
Brett Sullivan,10361
Pål Øie,41070
Park Chan-wook,670
Grant Harvey,12583
Takashi Miike,9694
Phil Tippett,10304
Prachya Pinkaew,9316
Andrew Lau,11647
Alan Mak,11647
Chris Kentis,83
Andrew Lau,14310
Alan Mak,14310
Hideo Nakata,10320
Dan Ollman,3396
Sarah Price,3396
Chris Smith,3396
Ryûhei Kitamura,5889
Scott Ziehl,5460
William Arntz,8357
Betsy Chasse,8357
Scott Derrickson,12597
Jay Roach,693
Geoffrey Sax,11804
Shinji Aramaki,11633
Norman Taurog,42390
Gordon Flemyng,26581
Brian Levant,11637
Uwe Boll,12142
Stephen T. Kay,8968
Francis Lawrence,561
Lawrence Guterman,10214
