cast,revenue,movies,return
Akira Kimura,0.0,1,0.0
Akira Kubo,0.0,1,0.0
Akira Kuji,0.0,1,0.0
Akira Nakao,0.0,5,0.0
Akira Natsuki,0.0,1,0.0
Akira Takarada,0.0,5,0.0
Akira Takayama,159291809.0,1,5.309726966666667
Akira Tani,0.0,2,0.0
Akira Wakamatsu,0.0,1,0.0
Akira Yamada,0.0,1,0.0
Akira Yamanouchi,0.0,1,0.0
Akira Yoshizawa,25000000.0,1,5.555555555555555
Akitake Kôno,0.0,1,0.0
Akiva Goldsman,853045692.0,2,2.5155100287719296
Akiva Schaffer,515141678.0,2,8.992468404166667
Akshay Kumar,36500000.0,3,0.0
Akshaye Khanna,0.0,1,0.0
Akuyoe Graham,235483004.0,1,21.40754581818182
Al Agami,40031879.0,1,3.127490546875
Al Anderson,34000000.0,1,9.714285714285714
Al Bandiero,300473716.0,1,9.692700516129031
Al Berry,14400000.0,1,5.76
Al Bridge,0.0,3,0.0
Al Burke,0.0,2,0.0
Al Cerullo,1153304495.0,1,4.61321798
Al Cliver,0.0,1,0.0
Al Coronel,616801808.0,2,3.179390762886598
Al Dunlap,35976000.0,1,8.994
Al Fann,41158757.0,2,11.432988055555555
Al Foster,0.0,1,0.0
Al Gore,0.0,1,0.0
Al Hansen,47965000.0,1,0.0
Al Harrington,0.0,1,0.0
Al Herman,0.0,1,0.0
Al Hill,0.0,1,0.0
Al Jones,0.0,1,0.0
Al Kikume,0.0,2,0.0
Al Lampert,775398007.0,1,70.49072790909091
Al Leong,557134102.0,6,3.768896177777778
Al Lettieri,245066411.0,1,40.844401833333336
Al Liner,0.0,1,0.0
Al Lloyd,0.0,1,0.0
Al Maini,543934787.0,1,3.0558134101123597
Al Mancini,45300000.0,1,8.38888888888889
Al Martino,381832473.0,2,21.688553342592595
Al Matthews,516327523.0,2,6.468185456511057
Al Michaels,32709423.0,1,0.0
Al Mulock,6000000.0,2,2.5
Al Nalbandian,140000000.0,1,180.18018018018017
Al Pacino,740687938.0,4,12.674187439848334
Al Pia,0.0,1,0.0
Al Pipkin,87987055.0,1,4.2920514634146345
Al Pugliese,2970.0,1,0.000594
Al Robertson,6347072.0,1,0.0
Al Rodrigo,543513985.0,1,7.877014275362319
Al Roker,1597207154.0,6,1.9402451195929118
Al Ruban,0.0,1,0.0
Al Ruscio,227804160.0,4,0.7462359574074074
Al Santos,63102666.0,1,3.711921529411765
Al Sapienza,671919082.0,2,5.42961502745098
Al Septien,0.0,1,0.0
Al Silvani,387235147.0,2,66.55874997058824
Al Sunshine,163000.0,1,0.0
Al Vicente,1036415990.0,2,5.483583409803922
Al Waxman,0.0,3,0.0
Al White,332000000.0,1,8.3
Alaa Safi,0.0,1,0.0
Aladeen Tawfeek,543934787.0,1,3.0558134101123597
Alain Chabat,1290350952.0,2,5.994098366666666
Alain Coupeaux,40924982.0,1,1.605113444604775
Alain Cuny,0.0,1,0.0
Alain Dehay,190458706.0,1,3.527013074074074
Alain Delon,13015688.0,2,0.464846
Alain Figlarz,376141306.0,1,8.358695688888888
Alain Gauthier,0.0,1,0.0
Alain Gerard,0.0,1,0.0
Alain Grellier,214034224.0,1,3.567237066666667
Alain Guernier,0.0,1,0.0
Alain Hocquenghem,300400432.0,1,6.827282545454546
Alain Ngalani,0.0,1,0.0
Alaina Reed Hall,75902208.0,1,7.228781714285715
Alan Amiel,0.0,1,0.0
Alan Arkin,493766735.0,3,4.926825751851852
Alan Austen,538400000.0,1,29.91111111111111
Alan Bagh,0.0,2,0.0
Alan Bates,193000000.0,1,2.838235294117647
Alan Baxter,0.0,1,0.0
Alan Bennett,572700000.0,1,17.7032457496136
